id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20141108_t1528561_x1358164E_y073817S_l1671_s0005_v23,2017-05-24 09:44:01,-7.381687,135.816437,46.8118,2014-11-08 15:28:56,2014-11-09 00:28:56,1671,5,-999.3,1,2529,0.763718,0.445504,0.799231,0.4,0.839033,0.75,0.126874,0.0001,1.71505e-10,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641776_noaa_ops.h5,GDNBO_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641534_noaa_ops.h5,SVI04_npp_d20141108_t1525507_e1531311_b15709_c20141108213132222185_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1525507_e1531311_b15709_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,3.189218;1.108766;-1.017888;-5.904455;-10.800438;-15.704104;-20.612505;-18.944960;-16.149769;-11.355026;-6.531833;-1.682746,138.375992;152.061096;165.640808;164.610626;163.673325;162.828171;162.079849;147.475784;133.159683;134.658035;136.021500;137.258133,npp_d20141108_t1525507_e1531311_b15709,153.136,153.596,70.2046,100.954,27.6981,22.8631
3,VBD_npp_d20141108_t1529352_x1393036E_y104158S_l2025_s0599_v23,2017-05-24 09:44:01,-10.415793,139.303558,29.8369,2014-11-08 15:29:35,2014-11-09 00:29:35,2025,599,0.38555,1,2529,0.871775,0.303624,0.888406,0.4,0.944681,0.75,0.12421,0.0001,2.40479e-07,999999,2.922398e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641776_noaa_ops.h5,GDNBO_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641534_noaa_ops.h5,SVI04_npp_d20141108_t1525507_e1531311_b15709_c20141108213132222185_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1525507_e1531311_b15709_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,3.189218;1.108766;-1.017888;-5.904455;-10.800438;-15.704104;-20.612505;-18.944960;-16.149769;-11.355026;-6.531833;-1.682746,138.375992;152.061096;165.640808;164.610626;163.673325;162.828171;162.079849;147.475784;133.159683;134.658035;136.021500;137.258133,npp_d20141108_t1525507_e1531311_b15709,148.755,149.894,59.1911,100.795,29.4646,14.0974
4,VBD_npp_d20141108_t1529192_x1398862E_y095506S_l1880_s0647_v23,2017-05-24 09:44:01,-9.550611,139.886246,43.9038,2014-11-08 15:29:19,2014-11-09 00:29:19,1880,647,0.353453,8,18913,0.66385,0.330999,0.672013,0.4,0.825799,0.75,0.12566,0.0001,5.95e-07,999999,1.863562e-01,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641776_noaa_ops.h5,GDNBO_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641534_noaa_ops.h5,SVI04_npp_d20141108_t1525507_e1531311_b15709_c20141108213132222185_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1525507_e1531311_b15709_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.326437,VBD_bridges_c20160811.shp,3.189218;1.108766;-1.017888;-5.904455;-10.800438;-15.704104;-20.612505;-18.944960;-16.149769;-11.355026;-6.531833;-1.682746,138.375992;152.061096;165.640808;164.610626;163.673325;162.828171;162.079849;147.475784;133.159683;134.658035;136.021500;137.258133,npp_d20141108_t1525507_e1531311_b15709,149.236,148.34,58.0573,100.588,28.4883,13.4744
5,VBD_npp_d20141108_t1529299_x1401732E_y102851S_l1981_s0713_v23,2017-05-24 09:44:01,-10.285052,140.173218,8.51206,2014-11-08 15:29:29,2014-11-09 00:29:29,1981,713,0.384058,1,2273,0.43415,0.380502,0.825107,0.4,0.87112,0.75,0.124712,0.0001,1.05431e-06,999999,-5.124004e-03,3,Papua New Guinean Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641776_noaa_ops.h5,GDNBO_npp_d20141108_t1525507_e1531311_b15709_c20141108213131641534_noaa_ops.h5,SVI04_npp_d20141108_t1525507_e1531311_b15709_c20141108213132222185_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1525507_e1531311_b15709_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,3.189218;1.108766;-1.017888;-5.904455;-10.800438;-15.704104;-20.612505;-18.944960;-16.149769;-11.355026;-6.531833;-1.682746,138.375992;152.061096;165.640808;164.610626;163.673325;162.828171;162.079849;147.475784;133.159683;134.658035;136.021500;137.258133,npp_d20141108_t1525507_e1531311_b15709,148.44,148.459,56.4483,100.413,29.1405,12.5245
1,VBD_npp_d20141108_t1706138_x1138332E_y069765N_l1975_s0005_v23,2017-05-24 09:46:52,6.976501,113.833176,36.2619,2014-11-08 17:06:13,2014-11-09 01:06:13,1975,5,-999.3,1,2529,0.846184,0.48187,0.831663,0.4,0.951518,0.75,0.139095,0.0001,8.03476e-09,999999,999999,3,Spratly Islands Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,162.864,125.789,70.1407,97.341,14.3542,39.0855
2,VBD_npp_d20141108_t1706565_x1137301E_y044273N_l2366_s0065_v23,2017-05-24 09:46:52,4.427260,113.730072,289.219,2014-11-08 17:06:56,2014-11-09 01:06:56,2366,65,0.371739,4,35309,0.99927,0.259654,0.647252,0.4,0.912626,0.75,0.137327,0.0001,1.0112e-08,999999,4.608174e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.207,131.785,69.223,97.7445,16.407,33.3157
3,VBD_npp_d20141108_t1706565_x1137347E_y044128N_l2368_s0066_v23,2017-05-24 09:46:52,4.412794,113.734734,497.151,2014-11-08 17:06:56,2014-11-09 01:06:56,2368,66,0.406764,4,35245,0.739652,0.271566,0.648383,0.4,0.666779,0.75,0.137319,0.0001,1.01303e-08,999999,4.146763e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.194,131.808,69.2082,97.6876,16.4167,33.2752
4,VBD_npp_d20141108_t1706583_x1137345E_y044111N_l2369_s0067_v23,2017-05-24 09:46:52,4.411146,113.734489,86.744,2014-11-08 17:06:58,2014-11-09 01:06:58,2369,67,0.406764,4,35237,0.630507,0.284323,0.644267,0.4,0.71018,0.75,0.137316,0.0001,1.08234e-08,999999,3.652562e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.187,131.798,69.1913,98.1399,16.4143,33.2527
5,VBD_npp_d20141108_t1706565_x1138877E_y044124N_l2365_s0088_v23,2017-05-24 09:46:52,4.412396,113.887688,18.9645,2014-11-08 17:06:56,2014-11-09 01:06:56,2365,88,0.354889,1,2529,0.572065,0.438826,0.629023,0.4,0.878368,0.75,0.137397,0.0001,1.34735e-08,999999,-2.332572e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.079,131.524,68.8629,97.7847,16.3325,32.8436
6,VBD_npp_d20141108_t1706316_x1142959E_y058757N_l2134_s0102_v23,2017-05-24 09:46:52,5.875699,114.295937,356.96,2014-11-08 17:06:31,2014-11-09 01:06:31,2134,102,0.150927,4,100741,0.485165,0.314106,0.341559,0.4,0.730824,0.75,0.138674,0.0001,2.20241e-08,999999,2.498843e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.778,127.618,68.6271,97.6811,14.9236,34.9118
7,VBD_npp_d20141108_t1706316_x1143319E_y058281N_l2140_s0108_v23,2017-05-24 09:46:52,5.828059,114.331924,911.01,2014-11-08 17:06:31,2014-11-09 01:06:31,2140,108,0.220259,4,100741,0.578611,0.246449,0.310463,0.4,0.721194,0.75,0.138659,0.0001,2.30542e-08,999999,5.119713e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.721,127.67,68.53,97.5037,14.9425,34.6997
9,VBD_npp_d20141108_t1706156_x1152255E_y066895N_l1991_s0210_v23,2017-05-24 09:46:52,6.689538,115.225479,25.2752,2014-11-08 17:06:15,2014-11-09 01:06:15,1991,210,0.366712,1,2529,0.725227,0.342611,0.825638,0.4,0.93721,0.75,0.139587,0.0001,9.11674e-08,999999,1.149038e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.561,124.204,66.8404,97.5318,13.7467,34.0171
13,VBD_npp_d20141108_t1706210_x1156578E_y063442N_l2035_s0281_v23,2017-05-24 09:46:52,6.344177,115.657806,32122.3,2014-11-08 17:06:21,2014-11-09 01:06:21,2035,281,0.436651,4,100837,1.69161,0.323035,0.676457,0.4,0.9756,0.75,0.139567,0.0001,2.00278e-07,999999,1.921385e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,160.993,124.347,65.5818,97.7834,13.7929,31.7182
14,VBD_npp_d20141108_t1706210_x1156549E_y063237N_l2038_s0281_v23,2017-05-24 09:46:52,6.323737,115.654922,44.815,2014-11-08 17:06:21,2014-11-09 01:06:21,2038,281,0.34478,4,116901,0.255435,0.143167,0.676457,0.4,0.508873,0.75,0.139554,0.0001,1.97852e-07,999999,9.018030e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.790663,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,160.984,124.401,65.582,97.6857,13.8121,31.6835
15,VBD_npp_d20141108_t1706156_x1157895E_y066148N_l1991_s0292_v23,2017-05-24 09:46:52,6.614827,115.789490,3153.12,2014-11-08 17:06:15,2014-11-09 01:06:15,1991,292,0.5167,4,100845,1.88643,0.123986,0.85047,0.4,0.978375,0.75,0.139779,0.0001,2.32205e-07,999999,9.774812e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,161.054,123.53,65.3926,97.5991,13.5004,31.9388
16,VBD_npp_d20141108_t1706192_x1159424E_y063194N_l2032_s0321_v23,2017-05-24 09:46:52,6.319388,115.942383,8.73044,2014-11-08 17:06:19,2014-11-09 01:06:19,2032,321,0.354005,1,2273,0.378179,0.285832,0.597569,0.4,0.80129,0.75,0.139666,0.0001,3.02845e-07,999999,3.389251e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,160.751,123.991,64.8493,97.3554,13.6692,30.7134
18,VBD_npp_d20141108_t1706138_x1161481E_y066447N_l1979_s0341_v23,2017-05-24 09:46:52,6.644721,116.148094,174.223,2014-11-08 17:06:13,2014-11-09 01:06:13,1979,341,0.294065,4,100837,0.630114,0.472575,0.599793,0.4,0.823148,0.75,0.139936,0.0001,4.03806e-07,999999,-3.978671e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,160.779,122.946,64.4762,97.4844,13.2898,30.7722
19,VBD_npp_d20141108_t1706121_x1162003E_y067787N_l1958_s0345_v23,2017-05-24 09:46:52,6.778699,116.200325,17.0829,2014-11-08 17:06:12,2014-11-09 01:06:12,1958,345,0.362126,1,35297,0.532336,0.296343,0.886326,0.4,0.849182,0.75,0.140042,0.0001,4.35831e-07,999999,2.974540e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818598_noaa_ops.h5,GDNBO_npp_d20141108_t1702347_e1708151_b15710_c20141108230815818370_noaa_ops.h5,SVI04_npp_d20141108_t1702347_e1708151_b15710_c20141108230815889380_noaa_ops.dspace_rad,VNFF_npp_d20141108_t1702347_e1708151_b15710_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,19.587400;17.906668;15.200603;10.381927;5.538547;0.674579;-4.196572;-2.162657;0.005200;4.882611;9.772287;14.674762,116.045792;130.529984;144.571335;143.138336;141.835587;140.654297;139.517532;125.962074;112.290382;113.371895;114.360291;115.252541,npp_d20141108_t1702347_e1708151_b15710,160.814,122.558,64.4039,97.6402,13.1495,30.9085
