id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
2,VBD_npp_d20140514_t1605193_x1259779E_y106115S_l1497_s0103_v23,2017-05-23 04:54:10,-10.611479,125.977905,316.978,2014-05-14 16:05:19,2014-05-15 00:05:19,1497,103,0.384832,4,100837,1.36079,0.161276,0.833989,0.4,0.975095,0.75,0.295067,0.0001,2.65907e-05,999999,5.636985e-01,3,Area of overlap between Australian Seabed Jurisdiction and Indonesian Exclusive Economic Zone Jurisdiction,WPP573,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,168.649,43.5029,68.6701,101.725,10.921,-122.648
3,VBD_npp_d20140514_t1605193_x1261633E_y106281S_l1494_s0129_v23,2017-05-23 04:54:10,-10.628074,126.163345,28.1492,2014-05-14 16:05:19,2014-05-15 00:05:19,1494,129,0.361077,4,100837,0.618467,0.246458,0.721069,0.4,0.825983,0.75,0.294874,0.0001,3.17037e-05,999999,8.677551e-02,3,Joint Development Area Australia - East Timor,,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,168.535,44.1772,68.2458,101.781,11.0685,-122.098
4,VBD_npp_d20140514_t1605247_x1266077E_y110679S_l1546_s0207_v23,2017-05-23 04:54:10,-11.067859,126.607704,637.798,2014-05-14 16:05:24,2014-05-15 00:05:24,1546,207,0.407592,4,100837,1.54114,0.104308,0.876549,0.4,0.903646,0.75,0.294571,0.0001,5.5756e-05,999999,8.826566e-01,3,Joint Development Area Australia - East Timor,,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,168.514,47.2167,66.9456,101.643,11.2419,-119.031
5,VBD_npp_d20140514_t1605247_x1266189E_y110493S_l1543_s0208_v23,2017-05-23 04:54:10,-11.049294,126.618881,31.5143,2014-05-14 16:05:24,2014-05-15 00:05:24,1543,208,0.381849,4,117221,0.672499,0.106476,0.876549,0.4,0.892111,0.75,0.29455,0.0001,5.5774e-05,999999,8.705187e-01,3,Joint Development Area Australia - East Timor,,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.43986,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,168.494,47.1842,66.9283,101.732,11.2608,-119.089
7,VBD_npp_d20140514_t1604082_x1307114E_y072362S_l0856_s0630_v23,2017-05-23 04:54:10,-7.236168,130.711411,469.437,2014-05-14 16:04:08,2014-05-15 01:04:08,856,630,0.272133,1,2529,1.44382,0.297923,0.816474,0.4,0.970232,0.75,0.285805,0.0001,0.00059945,999999,5.646027e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,163.167,45.7966,58.4529,100.232,16.5416,-124.846
8,VBD_npp_d20140514_t1605105_x1363770E_y120102S_l1415_s1601_v23,2017-05-23 04:54:10,-12.010215,136.376999,13.0356,2014-05-14 16:05:10,2014-05-15 01:35:10,1415,1601,0.421293,10,2177,0.186952,0.141199,0.378867,0.4,0.459921,0.75,0.278904,0.0001,0.0372692,999999,9.065670e-01,3,,,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,160.882,67.1783,24.216,99.7544,19.953,-104.764
9,VBD_npp_d20140514_t1605407_x1361605E_y138166S_l1687_s1633_v23,2017-05-23 04:54:10,-13.816610,136.160492,13.2851,2014-05-14 16:05:40,2014-05-15 01:35:40,1687,1633,0.378534,2,2209,0.192154,0.160429,0.415462,0.4,0.347327,0.75,0.279831,0.0001,0.0400845,999999,8.302869e-01,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963542_noaa_ops.h5,GDNBO_npp_d20140514_t1602336_e1608140_b13184_c20140514220813963201_noaa_ops.h5,SVI04_npp_d20140514_t1602336_e1608140_b13184_c20140514220814793130_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1602336_e1608140_b13184_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-1.030421;-3.258331;-5.282917;-10.180535;-15.084388;-19.992649;-24.902731;-23.293442;-20.269327;-15.509343;-10.712914;-5.885628,127.769150;141.436462;155.067612;154.118149;153.259445;152.488388;151.804413;136.724258;122.047638;123.702988;125.197258;126.546196,npp_d20140514_t1602336_e1608140_b13184,161.593,72.095,22.5832,99.8698,19.4703,-99.783
1,VBD_npp_d20140514_t1742069_x1039058E_y056105N_l1526_s0003_v23,2017-05-23 04:51:20,5.610537,103.905830,104.801,2014-05-14 17:42:06,2014-05-15 01:42:06,1526,3,-999.3,4,35301,1.04938,0.491062,0.839567,0.4,0.915367,0.75,0.272971,0.0001,5.07082e-07,999999,999999,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140386_noaa_ops.h5,GDNBO_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140132_noaa_ops.h5,SVI04_npp_d20140514_t1739176_e1744580_b13185_c20140514234458443413_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1739176_e1744580_b13185_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,15.341866;13.553741;11.005342;6.163081;1.300974;-3.577718;-8.469751;-6.519437;-4.194042;0.664891;5.543015;10.436074,105.752197;119.879570;133.669159;132.348114;131.146667;130.055130;129.066376;115.331871;101.612350;102.801094;103.881287;104.862549,npp_d20140514_t1739176_e1744580_b13185,153.608,22.5054,70.1706,97.7689,24.8054,-154.619
2,VBD_npp_d20140514_t1742353_x1036801E_y039438N_l1785_s0021_v23,2017-05-23 04:51:20,3.943826,103.680130,29.8586,2014-05-14 17:42:35,2014-05-15 01:42:35,1785,21,0.289756,8,18657,0.465092,0.420379,0.62271,0.4,0.761348,0.75,0.277127,0.0001,9.58547e-07,999999,-1.313126e-01,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140386_noaa_ops.h5,GDNBO_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140132_noaa_ops.h5,SVI04_npp_d20140514_t1739176_e1744580_b13185_c20140514234458443413_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1739176_e1744580_b13185_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.428896,VBD_bridges_c20160811.shp,15.341866;13.553741;11.005342;6.163081;1.300974;-3.577718;-8.469751;-6.519437;-4.194042;0.664891;5.543015;10.436074,105.752197;119.879570;133.669159;132.348114;131.146667;130.055130;129.066376;115.331871;101.612350;102.801094;103.881287;104.862549,npp_d20140514_t1739176_e1744580_b13185,155.183,23.6551,69.8976,98.0778,23.2361,-153.181
3,VBD_npp_d20140514_t1741544_x1042258E_y062376N_l1423_s0028_v23,2017-05-23 04:51:20,6.237644,104.225800,20.5726,2014-05-14 17:41:54,2014-05-15 00:41:54,1423,28,0.363563,8,18657,0.479182,0.419876,0.713072,0.4,0.790352,0.75,0.270953,0.0001,5.60065e-07,999999,-1.950051e-03,3,Malaysian Exclusive Economic Zone,,,SVDNB_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140386_noaa_ops.h5,GDNBO_npp_d20140514_t1739176_e1744580_b13185_c20140514234458140132_noaa_ops.h5,SVI04_npp_d20140514_t1739176_e1744580_b13185_c20140514234458443413_noaa_ops.dspace_rad,VNFF_npp_d20140514_t1739176_e1744580_b13185_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.48741,VBD_bridges_c20160811.shp,15.341866;13.553741;11.005342;6.163081;1.300974;-3.577718;-8.469751;-6.519437;-4.194042;0.664891;5.543015;10.436074,105.752197;119.879570;133.669159;132.348114;131.146667;130.055130;129.066376;115.331871;101.612350;102.801094;103.881287;104.862549,npp_d20140514_t1739176_e1744580_b13185,152.926,22.5452,69.7734,97.366,25.4974,-154.648
