id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20130110_t1525338_x1357100E_y112484S_l1674_s0339_v23,2017-05-24 21:03:43,-11.248355,135.710037,2.09919,2013-01-10 15:25:33,2013-01-11 00:25:33,1674,339,0.316163,1,2401,0.187675,0.0875,0.706259,0.4,1,0.75,3.33064e-28,0.0001,3.24604e-12,999999,999999,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,146.506,171.284,64.5972,101.41,141.902,143.985
2,VBD_npp_d20130110_t1524119_x1373901E_y066886S_l0944_s0400_v23,2017-05-24 21:03:43,-6.688573,137.390106,1.28243,2013-01-10 15:24:11,2013-01-11 00:24:11,944,400,0.172307,1,2401,0.125919,0.0875,0.57411,0.4,1,0.75,5.52398e-29,0.0001,2.70567e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,150.747,167.565,63.4037,100.036,144.59,138.67
3,VBD_npp_d20130110_t1524137_x1373894E_y066911S_l0945_s0401_v23,2017-05-24 21:03:43,-6.691118,137.389389,1.00107,2013-01-10 15:24:13,2013-01-11 00:24:13,945,401,0.108775,1,2401,0.0975854,0.0875,0.57411,0.4,0.99022,0.75,5.55811e-29,0.0001,2.72337e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,150.743,167.554,63.3831,100.575,144.584,138.665
4,VBD_npp_d20130110_t1524102_x1376806E_y066290S_l0927_s0439_v23,2017-05-24 21:03:43,-6.629038,137.680649,1.13074,2013-01-10 15:24:10,2013-01-11 00:24:10,927,439,0.240368,1,2401,0.103582,0.0525,0.492501,0.4,1,0.75,6.12223e-29,0.0001,3.02771e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,150.743,167.018,62.6369,100.004,144.45,138.293
5,VBD_npp_d20130110_t1524280_x1379055E_y077186S_l1084_s0510_v23,2017-05-24 21:03:43,-7.718631,137.905487,1.2796,2013-01-10 15:24:28,2013-01-11 00:24:28,1084,510,0.279867,1,2401,0.125614,0.0525,0.59917,0.4,1,0.75,1.20923e-28,0.0001,4.20769e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,149.614,166.904,61.1688,100.267,143.452,138.928
6,VBD_npp_d20130110_t1526147_x1364008E_y138464S_l2040_s0535_v23,2017-05-24 21:03:43,-13.846447,136.400833,1.35312,2013-01-10 15:26:14,2013-01-11 00:56:14,2040,535,0.302849,2,2337,0.108517,0.0525,0.83053,0.4,0.594253,0.75,1.83683e-27,0.0001,8.69475e-12,999999,999999,3,Australian Exclusive Economic Zone,,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,143.807,170.491,60.6537,101.748,139.338,144.79
9,VBD_npp_d20130110_t1524191_x1387907E_y073584S_l1006_s0620_v23,2017-05-24 21:03:43,-7.358395,138.790695,0.702298,2013-01-10 15:24:19,2013-01-11 00:24:19,1006,620,0.257272,1,2401,0.0798701,0.0525,0.466276,0.4,1,0.75,1.37684e-28,0.0001,6.44059e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,149.761,165.247,58.7159,99.9667,143.163,137.675
10,VBD_npp_d20130110_t1524191_x1388454E_y073681S_l1006_s0628_v23,2017-05-24 21:03:43,-7.368117,138.845352,0.709461,2013-01-10 15:24:19,2013-01-11 00:24:19,1006,628,0.282298,3,2369,0.0670323,0.0525,0.384013,0.4,1,0.75,1.41896e-28,0.0001,6.6927e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,149.738,165.154,58.5302,99.9591,143.12,137.624
11,VBD_npp_d20130110_t1524226_x1389272E_y075129S_l1026_s0645_v23,2017-05-24 21:03:43,-7.512899,138.927170,0.706668,2013-01-10 15:24:22,2013-01-11 00:24:22,1026,645,0.175953,1,2401,0.0611664,0.04375,0.556776,0.4,1,0.75,1.62148e-28,0.0001,7.40816e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,149.573,165.046,58.1206,100.478,142.951,137.647
12,VBD_npp_d20130110_t1524226_x1389512E_y075384S_l1029_s0649_v23,2017-05-24 21:03:43,-7.538397,138.951248,2.3089,2013-01-10 15:24:22,2013-01-11 00:24:22,1029,649,0.183024,1,2401,0.21162,0.04375,0.663949,0.4,0.899938,0.75,1.66134e-28,0.0001,7.57316e-12,999999,999999,3,Indonesian Exclusive Economic Zone,WPP718,,SVDNB_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659914_noaa_ops.h5,GDNBO_npp_d20130110_t1522285_e1528089_b06246_c20130110212808659542_noaa_ops.h5,SVI04_npp_d20130110_t1522285_e1528089_b06246_c20130110212809146578_noaa_ops.dspace_rad,VNFF_npp_d20130110_t1522285_e1528089_b06246_v21.csv,World_EEZ_v8_2014.shp,WPP_BFAR_merge.shp,KKP_IDN_merge_20161208.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,NCEI_NGA.union.nga_lead2.add_2015ntl.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,-0.213253;-2.405648;-4.437264;-9.334266;-14.237087;-19.145430;-24.056103;-22.442671;-19.477678;-14.709302;-9.905670;-5.073225,136.138565;149.797363;163.408661;162.449600;161.575928;160.794357;160.103317;145.126495;130.533737;132.154449;133.616104;134.942383,npp_d20130110_t1522285_e1528089_b06246,149.542,165.015,58.0242,100.351,142.917,137.643
